"fecha","cod_ine","CCAA","total","TMSTAMP"
"2020-03-04",8,"Castilla-La Mancha",0,"2020-03-29 06:29:47 UTC"
"2020-03-05",8,"Castilla-La Mancha",0,"2020-03-29 06:29:47 UTC"
"2020-03-06",8,"Castilla-La Mancha",0,"2020-03-29 06:29:47 UTC"
"2020-03-07",8,"Castilla-La Mancha",0,"2020-03-29 06:29:47 UTC"
"2020-03-08",8,"Castilla-La Mancha",0,"2020-03-29 06:29:47 UTC"
"2020-03-09",8,"Castilla-La Mancha",0,"2020-03-29 06:29:47 UTC"
"2020-03-10",8,"Castilla-La Mancha",0,"2020-03-29 06:29:47 UTC"
"2020-03-11",8,"Castilla-La Mancha",0,"2020-03-29 06:29:47 UTC"
"2020-03-12",8,"Castilla-La Mancha",1,"2020-03-29 06:29:47 UTC"
"2020-03-13",8,"Castilla-La Mancha",5,"2020-03-29 06:29:47 UTC"
"2020-03-14",8,"Castilla-La Mancha",6,"2020-03-29 06:29:47 UTC"
"2020-03-15",8,"Castilla-La Mancha",10,"2020-03-29 06:29:47 UTC"
"2020-03-16",8,"Castilla-La Mancha",17,"2020-03-29 06:29:47 UTC"
"2020-03-17",8,"Castilla-La Mancha",17,"2020-03-29 06:29:47 UTC"
"2020-03-18",8,"Castilla-La Mancha",28,"2020-03-29 06:29:47 UTC"
"2020-03-19",8,"Castilla-La Mancha",42,"2020-03-29 06:29:47 UTC"
"2020-03-20",8,"Castilla-La Mancha",42,"2020-03-29 06:29:47 UTC"
"2020-03-21",8,"Castilla-La Mancha",84,"2020-03-29 06:29:47 UTC"
"2020-03-22",8,"Castilla-La Mancha",112,"2020-03-29 06:29:47 UTC"
"2020-03-23",8,"Castilla-La Mancha",145,"2020-03-29 06:29:47 UTC"
"2020-03-24",8,"Castilla-La Mancha",216,"2020-03-29 06:29:47 UTC"
"2020-03-25",8,"Castilla-La Mancha",263,"2020-03-29 06:29:47 UTC"
"2020-03-26",8,"Castilla-La Mancha",316,"2020-03-29 06:29:47 UTC"
"2020-03-27",8,"Castilla-La Mancha",367,"2020-03-29 06:29:47 UTC"
"2020-03-28",8,"Castilla-La Mancha",448,"2020-03-29 06:29:47 UTC"
"2020-03-03",7,"Castilla y León",0,"2020-03-29 06:29:47 UTC"
"2020-03-04",7,"Castilla y León",0,"2020-03-29 06:29:47 UTC"
"2020-03-05",7,"Castilla y León",0,"2020-03-29 06:29:47 UTC"
"2020-03-06",7,"Castilla y León",0,"2020-03-29 06:29:47 UTC"
"2020-03-07",7,"Castilla y León",0,"2020-03-29 06:29:47 UTC"
"2020-03-08",7,"Castilla y León",0,"2020-03-29 06:29:47 UTC"
"2020-03-09",7,"Castilla y León",0,"2020-03-29 06:29:47 UTC"
"2020-03-10",7,"Castilla y León",0,"2020-03-29 06:29:47 UTC"
"2020-03-11",7,"Castilla y León",0,"2020-03-29 06:29:47 UTC"
"2020-03-12",7,"Castilla y León",0,"2020-03-29 06:29:47 UTC"
"2020-03-13",7,"Castilla y León",1,"2020-03-29 06:29:47 UTC"
"2020-03-14",7,"Castilla y León",3,"2020-03-29 06:29:47 UTC"
"2020-03-15",7,"Castilla y León",6,"2020-03-29 06:29:47 UTC"
"2020-03-16",7,"Castilla y León",9,"2020-03-29 06:29:47 UTC"
